Preprocessing,Balanced,Accuracy,Precision,F1-Score,Avg TPR (Sensitivity),Avg FPR,Avg TNR (Specificity),Avg FNR,AUC
Raw,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Raw,No,0.96015625,0.979734241,0.95878746,0.940650175,0.019159411,0.980840589,0.059349825,0.9985725
Bilateral Filter,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Bilateral Filter,No,0.9671875,0.979793641,0.964837752,0.951292207,0.014026634,0.985973366,0.048707793,0.997499956
Crop,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Crop,No,0.98203125,0.989409312,0.964902384,0.94356436,0.007993537,0.992006463,0.05643564,0.998149351
Gaussian Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Gaussian Blur,No,0.9734375,0.982864408,0.959637154,0.940128864,0.010518208,0.989481792,0.059871136,0.998573369
Local Contrast,Yes,0.53671875,0.515725937,0.493318958,0.573277435,0.211037447,0.788962553,0.426722565,0.778388957
Local Contrast,No,0.84609375,0.65061017,0.619440628,0.608505914,0.062082612,0.937917388,0.391494086,0.973384638
Median Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Median Blur,No,0.9703125,0.97930249,0.948213906,0.923194841,0.012238407,0.987761593,0.076805159,0.997478814
Min Max Scaling,Yes,0.52265625,0.551229038,0.549609193,0.69646669,0.163401692,0.836598308,0.30353331,0.834385873
Min Max Scaling,No,0.98359375,0.990311917,0.96749825,0.947530503,0.007302033,0.992697967,0.052469497,0.997191007
Z Score Standardization,Yes,0.546875,0.642114588,0.6100597,0.653726004,0.1628292,0.8371708,0.346273996,0.828051104
Z Score Standardization,No,0.96953125,0.981602642,0.958330628,0.938334727,0.014443803,0.985556197,0.061665273,0.998551281
