Preprocessing,Balanced,Accuracy,Precision,F1-Score,Avg TPR (Sensitivity),Avg FPR,Avg TNR (Specificity),Avg FNR,AUC
Raw,Yes,0.4296875,0.318791681,0.291593953,0.43749964,0.212660139,0.787339861,0.56250036,0.685179265
Raw,No,0.953125,0.966060904,0.950440312,0.93618567,0.020354349,0.979645651,0.06381433,0.993426955
Bilateral Filter,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.600428224
Bilateral Filter,No,0.92734375,0.906768516,0.923927581,0.943237824,0.028762334,0.971237666,0.056762176,0.987517253
Crop,Yes,0.48125,0.148559362,0.201761364,0.373080967,0.238975942,0.761024058,0.626919033,0.638718064
Crop,No,0.95390625,0.960489125,0.948917369,0.93809018,0.019246632,0.980753368,0.06190982,0.98914275
Gaussian Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.511486178
Gaussian Blur,No,0.95703125,0.967316023,0.950304688,0.934979779,0.01858796,0.98141204,0.065020221,0.992040458
Local Contrast,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Local Contrast,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Median Blur,Yes,0.03671875,0.219233111,0.029806852,0.262618297,0.244622732,0.755377268,0.737381703,0.564224597
Median Blur,No,0.90625,0.933165015,0.896060199,0.867428798,0.038800577,0.961199423,0.132571202,0.979631358
Min Max Scaling,Yes,0.46015625,0.454798046,0.448594613,0.597332813,0.180994194,0.819005806,0.402667187,0.782237514
Min Max Scaling,No,0.90859375,0.928156598,0.909003611,0.892462181,0.037829874,0.962170126,0.107537819,0.983643851
Z Score Standardization,Yes,0.4328125,0.449219886,0.447680134,0.615618436,0.190264056,0.809735944,0.384381564,0.769307057
Z Score Standardization,No,0.95390625,0.963997703,0.961970722,0.960122945,0.019730727,0.980269273,0.039877055,0.992787913
